KW,URL,Position,Vol
nursing home in the bronx,http://www.bxparkrehab.com,8,140
nursing home in the bronx,http://www.grandmanor.org,9,140
nursing home in the bronx,http://jewishhome.org/locations/bronx/,10,140
nursing home in the bronx,http://www.goldcrestcc.com,11,140
nursing home in the bronx,https://www.caring.com/local/nursing-homes-in-bronx-new-york,12,140
nursing home in the bronx,"http://www.indeed.com/q-Nursing-Home-l-Bronx,-NY-jobs.html",13,140
nursing home in the bronx,http://www.yellowpages.com/bronx-ny/nursing-homes-skilled-nursing-facility,14,140
nursing home in the bronx,http://nursing-homes.healthgrove.com/d/a/New-York/Bronx,15,140
nursing home in the bronx,http://www.skillednursingfacilities.org/directory/ny/bronx/,16,140
nursing home in the bronx,http://www.laconianursinghome.com,17,140
nursing home in the bronx,http://www.riverdalenursinghome.com/Contact_Us.html,18,140
nursing home in the bronx,http://www.riverdalenursinghome.com,19,140
nursing home in the bronx,http://www.nytimes.com/2014/12/16/nyregion/death-in-bronx-shows-vulnerability-of-states-nursing-home-residents.html,20,140
nursing home in charlotte nc,http://health.usnews.com/best-nursing-homes/area/charlotte-nc,1,50
nursing home in charlotte nc,http://www.yellowpages.com/charlotte-nc/nursing-homes-skilled-nursing-facility,2,50
nursing home in charlotte nc,https://www.caring.com/local/nursing-homes-in-charlotte-north-carolina,3,50
nursing home in charlotte nc,https://plus.google.com/113537806965128566762/about?hl=en&amp;socfid=web:lu:unknown:localgroupedresult&amp;socpid=1,4,50
nursing home in charlotte nc,http://www.aldersgateccrc.com,5,50
nursing home in charlotte nc,http://www.mecklenburghealthrehab.com,6,50
nursing home in charlotte nc,http://www.savaseniorcare.com,7,50
nursing home in charlotte nc,http://www.avantecenters.com,8,50
nursing home in charlotte nc,http://www.peakresourcesinc.com/locations/charlotte/about/,9,50
nursing home in charlotte nc,http://www.whiteoakmanor.com,10,50
nursing home in charlotte nc,http://www.libertyhealthcareandrehab.com/lcmecklenburg/,11,50
nursing home in charlotte nc,http://www.aplaceformom.com/nursing-homes/north-carolina/charlotte,12,50
nursing home in charlotte nc,"http://www.indeed.com/q-Nursing-Home-l-Charlotte,-NC-jobs.html",13,50
nursing home in charlotte nc,http://www.assistedseniorliving.net/nursing-homes/north-carolina/charlotte/,14,50
nursing home in charlotte nc,http://www.aldersgateccrc.com/skilled-nursing.php,15,50
nursing home in charlotte nc,http://www.angieslist.com/companylist/charlotte/nursing-homes.htm,16,50
nursing home in charlotte nc,http://www.charlottehealthrehab.com,17,50
nursing home in charlotte nc,http://www.skillednursingfacilities.org/directory/nc/charlotte/,18,50
nursing home in charlotte nc,http://www.seniorhomes.com/c/nc/charlotte/nursing-homes/,19,50
nursing home in charlotte nc,http://www.thecypressofcharlotte.com/nursing-home-charlotte/,20,50
nursing home in wayne nj,http://www.regencygardensnursing.com,1,40
nursing home in wayne nj,http://www.windsorhealthcare.org/llanfair-house,2,40
nursing home in wayne nj,https://plus.google.com/108781418659121478997/about?hl=en&amp;socfid=web:lu:unknown:localgroupedresult&amp;socpid=1,3,40
nursing home in wayne nj,http://atriumhsl.com/location/wayneviewpac/about/,4,40
nursing home in wayne nj,http://www.care-one.com/wayne,5,40
nursing home in wayne nj,http://www.littlesistersofthepoortotowa.org,6,40
nursing home in wayne nj,http://www.reveraoakridge.com,7,40
nursing home in wayne nj,http://www.regencygardensnursing.com,8,40
nursing home in wayne nj,http://www.reveraoakridge.com,9,40
nursing home in wayne nj,http://www.aplaceformom.com/nursing-homes/new-jersey/wayne,10,40
nursing home in wayne nj,http://www.windsorhealthcare.org/llanfair-house,11,40
nursing home in wayne nj,http://www.regencynursing.com,12,40
nursing home in wayne nj,"http://www.indeed.com/q-Nursing-Home-l-Wayne,-NJ-jobs.html",13,40
nursing home in wayne nj,http://health.usnews.com/best-nursing-homes/area/nj/care-one-at-wayne-skilled-nursing-facility-315477,14,40
nursing home in wayne nj,http://health.usnews.com/best-nursing-homes/area/nj/advanced-care-center-at-lakeview-315110,15,40
nursing home in wayne nj,http://www.khwayne.com,16,40
nursing home in wayne nj,https://www.brookdale.com/communities/emeritus-wayne/,17,40
nursing home in wayne nj,http://www.care-one.com/locations/careone-at-wayne/,18,40
nursing home in wayne nj,http://www.advancedcare.us,19,40
nursing home in wayne nj,http://www.dibbern.com/nursing-homes/new-jersey/wayne-new-jersey-nursing-homes.htm,20,40
nursing home in san antonio tx,http://health.usnews.com/best-nursing-homes/area/san-antonio-tx,1,40
nursing home in san antonio tx,http://www.yellowpages.com/san-antonio-tx/nursing-homes-skilled-nursing-facility,2,40
nursing home in san antonio tx,https://www.caring.com/local/nursing-homes-in-san-antonio-texas,3,40
nursing home in san antonio tx,http://www.westoverhillsrehab.com,4,40
nursing home in san antonio tx,http://www.legendhc.com,5,40
nursing home in san antonio tx,http://www.alamoheightshealth.com,6,40
nursing home in san antonio tx,https://www.fivestarseniorliving.com/communities/tx/san-antonio/the-forum-at-lincoln-heights,7,40
nursing home in san antonio tx,https://www.brookdale.com/communities/emeritus-lincoln-heights/,8,40
nursing home in san antonio tx,https://www.brookdale.com/communities/patriot-heights/,9,40
nursing home in san antonio tx,http://www.seniorcarecentersltc.com/new/mystic-park-nursing-rehab-center/,10,40
nursing home in san antonio tx,"http://www.indeed.com/q-Nursing-Home-l-San-Antonio,-TX-jobs.html",11,40
nursing home in san antonio tx,http://www.aplaceformom.com/nursing-homes/texas/san-antonio,12,40
nursing home in san antonio tx,http://www.seniorhomes.com/c/tx/san-antonio/nursing-homes/,13,40
nursing home in san antonio tx,http://www.dibbern.com/nursing-homes/texas/san-antonio-texas-nursing-homes.htm,14,40
nursing home in san antonio tx,http://www.superpages.com/yellowpages/C-Nursing+Homes/S-TX/T-San+Antonio/,15,40
nursing home in san antonio tx,http://www.angieslist.com/companylist/san-antonio/nursing-homes.htm,16,40
nursing home in san antonio tx,http://www.heartland-manorcare.com/locations/heartland-health-care-center-san-antonio/,17,40
nursing home in san antonio tx,http://www.skillednursingfacilities.org/directory/tx/san-antonio/,18,40
nursing home in san antonio tx,https://www.mmliving.org,19,40
nursing home in san antonio tx,https://www.mmliving.org/communities/chandler-estate/,20,40
nursing home in las vegas,http://health.usnews.com/best-nursing-homes/area/las-vegas-nv,1,30
